prolificid,subject_id,age,gender,label,trialnum,status,outcome,getsout,bloc,img1,img2,buttonchoice,rtchoice,rt,response,key_press,time_elapsed,internal_node_id,trial_type,trial_index,stimulus,responses,playerout,playeroutnumber,rated,date,time,datefinish,timefinish,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,21,1,2,1,1,12,15,0,1710,3992,63,,288068,0.0-72.0,html-slider-response,72,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,6,2,2,1,2,5,18,0,934,3255.8,80,,502690,0.0-183.0,html-slider-response,183,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,0,Player 16,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,40,2,2,2,2,8,12,0,1610,1091.8,80,,513982,0.0-188.0,html-slider-response,188,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,4,Player 82,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,24,2,2,2,2,7,13,1,1387,2011.5,28,,526015,0.0-193.0,html-slider-response,193,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,17,1,1,1,2,2,19,0,1067,948.9,65,,536724,0.0-198.0,html-slider-response,198,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,31,1,2,2,2,4,6,1,766,1065.7,70,,547352,0.0-203.0,html-slider-response,203,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,3,Player 34,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,26,2,1,1,2,8,10,0,1375,1472.9,36,,558903,0.0-208.0,html-slider-response,208,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,3,Player 34,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,8,2,2,2,1,6,11,0,1153,53737,61,,351520,0.0-77.0,html-slider-response,77,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,0,Player 42,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,13,1,2,1,1,10,15,1,921,2020,63,,363151,0.0-82.0,html-slider-response,82,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 18 for the outcome ? </p>""",,1,Player 18,Player 18,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,40,2,2,2,3,2,5,1,1669,1234.9,12,,573607,0.0-214.0,html-slider-response,214,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 50 for the outcome ? </p>""",,4,Player 82,Player 50,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,11,1,1,2,3,3,16,0,729,1013.8,76,,584049,0.0-219.0,html-slider-response,219,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,1,Player 50,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,17,1,1,1,1,1,11,1,1256,2943,61,,376092,0.0-87.0,html-slider-response,87,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,24,2,2,2,3,8,14,,,,,,594918,0.0-224.0,html-slider-response,224,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,35,1,1,2,3,11,14,0,1096,1088.1,82,,605717,0.0-229.0,html-slider-response,229,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 16 for the outcome ? </p>""",,4,Player 82,Player 16,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,18,2,1,1,3,7,12,1,779,702.9,99,,616075,0.0-234.0,html-slider-response,234,"<p style=font-size:16px; text-align:center;""> &nbsp &nbsp &nbsp How responsible are YOU for the outcome ?  &nbsp &nbsp </p>""",,2,You,You,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,30,2,2,1,3,12,18,1,1854,1261.8,70,,627943,0.0-239.0,html-slider-response,239,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 34 for the outcome ? </p>""",,3,Player 34,Player 34,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5ab54f75fa3b4e000172c7a6,1818214,31,M,scaleresp,37,1,2,1,1,5,19,0,1533,36791,67,,423480,0.0-92.0,html-slider-response,92,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 37 for the outcome ? </p>""",,4,Player 37,Player 37,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
5d4755febdd31c0019bb78e3,8551490,25,M,scaleresp,16,2,2,2,3,1,6,0,1235,822.4,67,,639040,0.0-244.0,html-slider-response,244,"<p style=font-size:16px; text-align:center;"">  How responsible is Player 82 for the outcome ? </p>""",,1,Player 50,Player 82,26/05/2020,1.5905E+12,26/05/2020,1.5905E+12,,
