"id","repetition","beta8","n","p"
1902,64,0.05,50,0.681296527920187
1903,64,0.15,50,0.013834842910876
1904,64,0.25,50,1.93360487699146e-06
1905,64,0.5,50,1.52835214142007e-15
1906,64,0,150,0.312029124040494
1907,64,0.05,150,0.13983227886375
1908,64,0.15,150,6.88528266992587e-06
1909,64,0.25,150,2.23255929539485e-10
1910,64,0.5,150,1.48231974336608e-15
1911,64,0,500,0.311812626093218
1912,64,0.05,500,0.111356721749449
1913,64,0.15,500,1.9322316301909e-07
1914,64,0.25,500,1.67202093463528e-12
1915,64,0.5,500,2.13631237635024e-18
1916,64,0,5000,0.311812626093218
1917,64,0.05,5000,0.111356721749449
1918,64,0.15,5000,1.9322316301909e-07
1919,64,0.25,5000,1.67202093463528e-12
1920,64,0.5,5000,2.13631237635024e-18
1921,65,0,5,0.99999989844051
1922,65,0.05,5,0.00114960764652544
1923,65,0.15,5,0.0190652446988658
1924,65,0.25,5,0.00434466019324536
1925,65,0.5,5,0.00236029137611712
1926,65,0,25,0.999998160030182
1927,65,0.05,25,0.692067639665997
1928,65,0.15,25,0.029106621077516
1929,65,0.25,25,0.000899460270226318
1930,65,0.5,25,1.25416248046963e-09
1931,65,0,50,0.160741029220653
1932,65,0.05,50,0.703325178441379
1933,65,0.15,50,0.0149739769618336
1934,65,0.25,50,4.08598983564106e-18
1935,65,0.5,50,1.24471562137812e-12
1936,65,0,150,0.627291368871652
1937,65,0.05,150,0.195526132748969
1938,65,0.15,150,8.1803858235432e-06
1939,65,0.25,150,7.43003787071388e-10
1940,65,0.5,150,4.22384994986324e-19
1941,65,0,500,0.311812626093218
1942,65,0.05,500,0.111356721749449
1943,65,0.15,500,3.25984616458879e-07
1944,65,0.25,500,1.67202093463528e-12
1945,65,0.5,500,2.13631237635024e-18
1946,65,0,5000,0.311812626093218
1947,65,0.05,5000,0.111356721749449
1948,65,0.15,5000,1.9322316301909e-07
1949,65,0.25,5000,1.67202093463528e-12
1950,65,0.5,5000,2.13631237635024e-18
1951,66,0,5,0.373900966300061
1952,66,0.05,5,0.0292234789898724
1953,66,0.15,5,0.0882309648159
1954,66,0.25,5,0.0114914136736129
1955,66,0.5,5,0.00140396190393666
1956,66,0,25,1
1957,66,0.05,25,1.03239513534178e-10
1958,66,0.15,25,0.0309544930514684
1959,66,0.25,25,8.94834684040647e-10
1960,66,0.5,25,2.28629817771194e-05
1961,66,0,50,0.32398502626509
1962,66,0.05,50,0.180050742825804
1963,66,0.15,50,0.00025443836919189
1964,66,0.25,50,5.93990652105122e-20
1965,66,0.5,50,2.41147413359643e-07
1966,66,0,150,0.312274368913519
1967,66,0.05,150,0.17767008069072
1968,66,0.15,150,8.88111599578033e-10
1969,66,0.25,150,8.12767635562133e-11
1970,66,0.5,150,2.81691208464453e-24
1971,66,0,500,0.311812626093218
1972,66,0.05,500,0.111356721749449
1973,66,0.15,500,1.9322316301909e-07
1974,66,0.25,500,1.67202093463528e-12
1975,66,0.5,500,2.13631237635024e-18
1976,66,0,5000,0.311812626093218
1977,66,0.05,5000,0.111356721749449
1978,66,0.15,5000,1.9322316301909e-07
1979,66,0.25,5000,1.67202093463528e-12
1980,66,0.5,5000,2.13631237635024e-18
1981,67,0,5,0.999999950019986
1982,67,0.05,5,0.186964575181531
1983,67,0.15,5,0.0128387628949483
1984,67,0.25,5,0.00435217904742556
1985,67,0.5,5,0.439478584880162
1986,67,0,25,0.999999790094706
1987,67,0.05,25,0.000592918232780857
1988,67,0.15,25,9.03823356919821e-08
1989,67,0.25,25,0.037122958164074
1990,67,0.5,25,1.58543034265381e-09
1991,67,0,50,1
1992,67,0.05,50,9.30143751737668e-07
1993,67,0.15,50,0.0324470934969381
1994,67,0.25,50,9.82965895430178e-05
1995,67,0.5,50,1.15679160384627e-06
1996,67,0,150,0.6575128295993
1997,67,0.05,150,0.247052140730049
1998,67,0.15,150,1.90396204934914e-09
1999,67,0.25,150,2.5648714749305e-10
2000,67,0.5,150,1.43511231072743e-15
2001,67,0,500,0.311864336074651
2002,67,0.05,500,0.111356721749449
2003,67,0.15,500,1.9322316301909e-07
2004,67,0.25,500,1.67202093463528e-12
2005,67,0.5,500,2.13631237635024e-18
2006,67,0,5000,0.311812626093218
2007,67,0.05,5000,0.111356721749449
2008,67,0.15,5000,1.9322316301909e-07
2009,67,0.25,5000,1.67202093463528e-12
2010,67,0.5,5000,2.13631237635024e-18
2011,68,0,5,0.373900966300064
2012,68,0.05,5,0.0109979905387934
2013,68,0.15,5,0.0236377628511246
2014,68,0.25,5,0.0165645232927357
2015,68,0.5,5,0.0276562076966295
2016,68,0,25,0.328694683236499
2017,68,0.05,25,0.000429819937656678
2018,68,0.15,25,5.9435384705997e-12
2019,68,0.25,25,0.00122077207602476
2020,68,0.5,25,5.80806072899048e-09
